BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Bolaño, Roberto: «Putas asesinas». Putas asesinas. Barcelona: Anagrama, 2001.	Bolaño, Roberto	Putas asesinas	2001	Primera edición	Ficción	Escrito	Libro	Relato	Chile	Chilena	Ficción		no estás solo. Dejas atrás tu mano levantada, tu torso desnudo, tu camiseta enrollada alrededor de la cintura, tus himnos guerreros que evocan la pureza y el futuro. Este castillo es tu montaña, que tendrás que escalar y conocer con todas tus fuerzas pues después ya no habrá nada, la montaña y su ascensión te costarán el precio más alto que tú puedas pagar. Piensa ahora en lo que dejas, en lo que pudiste dejar, en lo que debiste dejar y piensa también en el azar, que es el mayor criminal que jamás pisó la Tierra. Despójate del miedo y del arrepentimiento, Max, pues
Bolaño, Roberto: «Buba». Putas asesinas. Barcelona: Anagrama, 2001.	Bolaño, Roberto	Putas asesinas	2001	Primera edición	Ficción	Escrito	Libro	Relato	Chile	Chilena	Ficción		empecé a marcar más goles que nunca en mi vida. Y Herrera también tuvo una racha goleadora. Y todo el mundo adoraba a Buba. Y también nos adoraban a Herrera y a mí. De la noche a la mañana nos convertimos en los reyes de la ciudad. Todo nos sonreía. El club inició una ascensión imparable. Ganábamos y gustábamos.
Noriega, Simón: Venezuela en sus artes visuales. Mérida: Ediciones Puerta del Sol, 2001.	Noriega, Simón	Venezuela en sus artes visuales	2001	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Venezuela	Caribe continental	Divulgación		La ascensión al poder de Juan Vicente Gómez (1857-1935) por un golpe de Estado, fue recibida con beneplácito en todos los sectores del país, incluso hasta en los predios de los intelectuales. Algunos hombres de letras como José Gil Fortoul, Manuel Díaz Rodríguez, Pedro Emilio con y César Zumeta, para sólo citar a los más destacados, llegaron a ocupar
Bondy Reyes, Ernesto: «OCASO DEL IMPERIO EMPLUMADO». Viaje de retorno, hasta Sabina y otros relatos. Tegucigalpa: Iberoamericana, 2001.	Bondy Reyes, Ernesto	Viaje de retorno, hasta Sabina y otros relatos	2001	Primera edición	Ficción	Escrito	Libro	Relato	Honduras	México y Centroamérica	Ficción		Matar a un quetzal era penado con la muerte cuando vivo y con la oscuridad cuando muerto y las altas montañas donde vivía el animal eran sagradas, prohibiéndose su posesión y explotación. Solamente las familias divinas podían poseer sus plumas y por medio de ellas, a través de un obsequio real, se abría el camino para la ascensión de una persona de la casta de plebeyo a la clase de noble.
Ospina de la Roche, Arturo: El legado maya. Los aportes de un pueblo sorprendente a las matemáticas y la astronomía. Bogotá: Planeta, 2001.	Ospina de la Roche, Arturo	El legado maya. Los aportes de un pueblo sorprendente a las matemáticas y la astronomía	2001	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental	Académico		Philocalus hacia el año 354. Después de la Reforma, la Iglesia Luterana alemana conservó el calendario romano, lo mismo que la Iglesia de Inglaterra y algunas otras iglesias anglicanas. Las principales estaciones del calendario eclesiástico, observadas por la mayoría de los cristianos son: Adviento, Navidad, Epifanía, Cuaresma, Pascua, Ascensión, Pentecostés y Trinidad.
Quezada, Roberto: Los potros del recuerdo. Guatemala: Editorial Palo de Hormigo, 2001.	Quezada, Roberto	Los potros del recuerdo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Guatemala	México y Centroamérica	Ficción		- La Luna es solamente un receptáculo generador de las almas y no es más que una etapa en la ascensión. Reabsorbe las almas y las vuelve a crear.
González Leal, Nelson: Esa pequeña porción del paraíso. Caracas: Comala.com, 2001.	González Leal, Nelson	Esa pequeña porción del paraíso	2001	Primera edición	Ficción	Escrito	Libro	Novela	Venezuela	Caribe continental	Ficción		y posaron sus asentaderas sobre los puestos de los autobuses. Y entonces aquellos vehículos sí parecían tener vida. Incluso este mismo, el único que sobrevivió al desánimo, y en el que ahora viaja Don Francisco Raven vía a la plaza y en búsqueda de la pensión Matilde, fue escenario de diversos regateos y hasta de la ascensión -y la caída- de más de un iluso comprador. Por aquellos días -recuerda Francisco Raven- ambos transportes parecían no darse abasto para tanta carga humana, y sin embargo cumplieron con puntualidad todos sus horarios. Fueron testigos silenciosos de la mayor, de la más grande minucia del pueblo: su pretensión de ser
Marrero, Marisol: Las brujas modernas vuelan en la red. Caracas: Fondo Editorial Tropykos, 2001.	Marrero, Marisol	Las brujas modernas vuelan en la red	2001	Primera edición	Ficción	Escrito	Libro	Novela	Venezuela	Caribe continental	Ficción		la abuela repetía y repetía. Sus poderes y sus estudios no la protegían de la arteriosclerosis. Eran demasiados años, más bien, muy bien estaba. A veces hasta superponía las historias, o brincaba, a otras completamente distintas, como ahora, que nos relató sobre la luna anterior a la actual que provocó la ascensión de los mares, y el hundimiento de algunas tierras dando lugar a que las civilizaciones de la época se desarrollaran en lugares elevados.
Ferrer Agüero, Luis María: El emperador chino de occidente (El Dr. F.): guión cinematográfico. Buenos Aires: Dunken, 2001.	Ferrer Agüero, Luis María	El emperador chino de occidente (El Dr. F.): guión cinematográfico	2001	Primera edición	Ficción	Escrito	Libro	Guion	Paraguay	Río de la Plata	Ficción		El profesor Johnson se dispone a comenzar su ponencia sobre «La irresistible ascensión de Rodríguez de Francia». Hace un comentario socarrón sobre Brecht, Arturo Ui y el Dr. Francia. Aclara que se considera con derecho a hacer ciertas especulaciones históricas. Por ejemplo, ¿Por qué decidió el Tte. Abreu quedarse un día más en Asunción? Y, a continuación, se pregunta cuáles eran las intenciones de Don Gaspar
Ferrer Agüero, Luis María: El emperador chino de occidente (El Dr. F.): guión cinematográfico. Buenos Aires: Dunken, 2001.	Ferrer Agüero, Luis María	El emperador chino de occidente (El Dr. F.): guión cinematográfico	2001	Primera edición	Ficción	Escrito	Libro	Guion	Paraguay	Río de la Plata	Ficción		Ray Johnson concluye su monumental ponencia sobre la ascensión de Rodríguez de Francia al poder preguntando y preguntándose nuevamente:
Ehrenhaus, Andrés: La seriedad. Barcelona: Mondadori, 2001.	Ehrenhaus, Andrés	La seriedad	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Greiz tenía asignada una plaza de aparque en uno de los cuarenta cellares del edificio Neber Tugueder, donde estaba la sede de AYW. La ascensión a las oficinas de AYW podía durar a veces casi tanto como el trayecto conurbano en el vehículo particular. Los ascensorios adolecían de numerosas deficiencias, tanto de seguridad como de destino. Con suerte, una podía padecer sólo dos o tres errores de distribución y acabar llegando a destino al cuarto intento. Pero no siempre
Ehrenhaus, Andrés: La seriedad. Barcelona: Mondadori, 2001.	Ehrenhaus, Andrés	La seriedad	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		. Qué mal le huele todo esto. Empieza a verle el penacho al autor. Porque el gesto del bandido es un gesto de enano ensoberbecido e ignorante. Todo lo que sube, baja. Pero todo lo que sube por segunda vez, baja el triple. Basta con calcular la altura de la ascensión para saber qué hondura tendrá el foso. Esto es más viejo y trillado que el pan sin fécula. Ahora a Labán le queda un único motivo para seguir leyendo. Ya no le interesa saber cuánto subirá o caerá el bandido, ni cuál es la monstruosa peculiaridad de la Huérfana Sobrecogedora. Toda su curiosidad se centra
