BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Bolaño, Roberto: «Últimos atardeceres en la tierra». Putas asesinas. Barcelona: Anagrama, 2001.	Bolaño, Roberto	Putas asesinas	2001	Primera edición	Ficción	Escrito	Libro	Relato	Chile	Chilena	Ficción		El resto del día transcurre como entre brumas. En algún momento B y su padre se marchan a una playa cercana al aeropuerto. La playa es enorme y en los lindes abundan las cabañas con techos de cañizo en donde los pescadores guardan sus artes. El mar está revuelto: durante un rato B y su padre contemplan las olas que se estrellan contra
Bolaño, Roberto: «Dentista». Putas asesinas. Barcelona: Anagrama, 2001.	Bolaño, Roberto	Putas asesinas	2001	Primera edición	Ficción	Escrito	Libro	Relato	Chile	Chilena	Ficción		Entre brumas recordaba que Cavernas había vuelto a llamarlo maricón, las risas de los hombres que lo sostenían, los automóviles aparcados en el cielo, un cielo gris parecido a la calle Sevilla. La certidumbre de que te mueres y de que te mueres por nada, por estupideces, y de que tu vida, la vida
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Te he dejado en la puerta silenciosa de tu casa y a través de la bruma espesa de la madrugada invernal, veo impreciso el rostro apaciguado de Juan, mi héroe del bien queriéndome decir que las madrugadas en esta tierra engendran peligro y zozobra inquietante; lo imagino mirando a sus hijos, atisbándolos en su afán eterno de advertir a tiempo los peligros del mundo.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Cuando la madrugada cayó del todo aún estaba trasnochado con el traqueteo sórdido de la máquina y pensando en la delicia eterna de tener muy pronto mi ordenador portátil, fui cayendo en la otra bruma espesa: la del cansancio agotador, con un adiós hasta la noche siguiente a Juan De La Cruz.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		A las cinco en punto de la mañana de un día con una bruma espesa, Sonia me recogió en su campero azul eléctrico de doble cabina. Atrás habían quedado los tiempos remotos de la carretera arisca y tormentosa que nos dejaba postrados por varios días con dolores lumbares exacerbados por el fuerte vaivén sobre un pavimento inexistente. Era una vía amplia de doble carril, con señalización rudimentaria y más alejada
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		En su sueño, ese siete de diciembre, vísperas de la inmaculada, había amanecido con poco sol y con una bruma tierna que cubría todo el espacio visible. Un cielo sereno nos cuidaba, con una nubes pasajeras que vislumbraban un día de tregua en medio de los calores encendidos de diciembre.
Martínez Espinosa, Jorge: «Delirio onírico». El final de los milagros. Colombia: Editorial Costa Rica, 2001.	Martínez Espinosa, Jorge	El final de los milagros	2001	Primera edición	Ficción	Escrito	Libro	Relato	Colombia	Caribe continental	Ficción		cortantes. Tiene los ojos vidriosos y un aire de estudiado misterio. El ganso aletea y entra en una calle desierta seguido por los pasos cautelosos del policía. Camina torpemente, bamboleándose. Ya no es el ganso. Es mi amigo el profesor. Se llama Rubén. Lleva gruesos lentes opacos de suciedad y bruma que ocultan su miopía. Viste un traje arrugado y rodillón. Parece un espantapájaros. Del bolsito izquierdo de su saco, brota un pañuelo rojo y sucio. Rubén se suena ruidosamente. Coloca sus gafas anticuadas en la espaciosa frente y achica los ojos enrojecidos y cansinos. Mira para un lado y otro de la
Martínez Espinosa, Jorge: «Delirio onírico». El final de los milagros. Colombia: Editorial Costa Rica, 2001.	Martínez Espinosa, Jorge	El final de los milagros	2001	Primera edición	Ficción	Escrito	Libro	Relato	Colombia	Caribe continental	Ficción		Entre las brumas de mi sueño surge La Plaza Grande. Otra estatua en el medio. Jardines bien cuidados. Arcadas por los cuatro costados. Sentados en los bancos reconozco a mis amigos, los pescadores que engarzan con sus anzuelos, cadáveres de seres humanos y oigo que preguntan: ¿quiénes serán responsables de estos muertos que ellos no
Martínez Espinosa, Jorge: «Su excelencia». El final de los milagros. Colombia: Editorial Costa Rica, 2001.	Martínez Espinosa, Jorge	El final de los milagros	2001	Primera edición	Ficción	Escrito	Libro	Relato	Colombia	Caribe continental	Ficción		los efectos combinados de una mortal "resaca" y de la sensación térmica invernal. -"Siento la piel como carne de gallina", suspira. Adusto el rostro, más profundos los surcos de la frente, la boca amarga, su Excelencia dice para sí: "Qué laguna, carajo!". Entre brumas etílicas estallan en su cerebro borrosas imágenes de la noche anterior. Los nuevos gobernantes, las damas elegantes, las cantidades industriales de whisky que ingirió; la búsqueda afanosa y frustrada del interruptor de luz en el cuarto donde se coló, creyendo entrar al servicio sanitario; el alboroto y los gritos histéricos de la
