freq	word1	word2	word3	word4	word5
2352	may	not	be	able	to
2189	may	or	may	not	be
2001	much	for	being	with	us
1736	more	than	half	of	the
1317	may	or	may	not	have
1085	might	not	be	able	to
1044	multiple	line	equation	can	not
1032	me	ask	you	a	question
989	make	a	lot	of	money
924	much	in	the	way	of
865	make	it	up	to	you
806	move	on	to	the	next
774	minutes	or	per	exchange	requirements
747	may	be	one	of	the
747	medical	information	found	on	this
747	medical	information	service	in	accordance
734	medical	advice	they	may	provide
733	much	for	talking	with	us
731	might	as	well	have	been
726	more	than	a	decade	ago
715	more	than	a	third	of
699	makes	a	lot	of	sense
671	make	sure	you	do	n't
657	more	than	a	year	ago
644	membership	will	automatically	upgrade	to
640	might	be	able	to	help
632	middle	of	the	night	and
619	my	heart	goes	out	to
608	my	husband	and	i	have
585	more	to	do	with	the
576	make	the	world	a	better
574	may	turn	out	to	be
558	most	of	the	people	who
551	more	than	a	quarter	of
550	make	a	difference	in	the
540	middle	east	and	north	africa
536	means	a	lot	to	me
528	more	than	half	of	all
526	more	and	more	people	are
526	most	of	the	time	i
525	morning	edition	from	npr	news
518	many	parts	of	the	world
518	my	husband	and	i	are
511	many	times	do	i	have
507	might	be	able	to	get
505	much	a	part	of	the
503	made	a	lot	of	money
502	most	of	the	rest	of
499	more	than	a	couple	of
499	more	to	it	than	that
497	may	be	reproduced	without	the
496	message	and	is	not	retained
488	moving	in	the	right	direction
480	may	not	be	the	best
478	make	no	mistake	about	it
477	much	of	the	rest	of
476	mashable	is	the	go-to	source
476	multi-platform	media	and	entertainment	company
474	most	of	us	do	n't
473	might	be	a	good	idea
464	men	and	women	in	the
460	me	put	it	this	way
457	more	than	half	a	century
456	me	a	long	time	to
456	me	more	from	npr	news
451	medicine	at	the	university	of
439	make	the	most	of	it
438	made	it	clear	that	he
437	my	wife	and	i	have
435	make	a	lot	of	sense
431	might	have	been	able	to
425	member	of	the	board	of
420	more	or	less	the	same
417	meet	the	needs	of	the
411	many	of	the	people	who
404	make	the	best	of	it
401	much	the	same	way	that
400	made	it	very	clear	that
397	may	be	due	to	the
395	more	and	more	of	the
390	make	it	more	difficult	for
387	much	for	speaking	with	us
381	more	along	the	lines	of
380	me	see	if	i	can
378	my	wife	and	i	are
376	matter	of	life	and	death
372	means	and	standard	deviations	for
371	men	and	women	of	the
368	my	husband	and	i	were
366	may	be	more	likely	to
362	me	when	i	was	a
361	me	ask	you	about	the
358	more	than	a	decade	of
358	most	people	do	n't	know
358	most	trusted	source	for	breaking
350	most	of	the	time	it
344	most	important	thing	is	to
342	me	something	i	do	n't
341	much	the	same	way	as
338	made	his	way	to	the
338	me	a	little	bit	about
336	make	sure	they	do	n't
336	more	than	half	a	million
336	most	of	the	people	in
333	me	if	i	do	n't
332	my	wife	and	i	were
331	member	and	not	of	tripadvisor
330	mark	shields	and	david	brooks
329	must	find	a	way	to
326	made	it	clear	that	the
325	make	the	most	of	the
325	men	and	women	who	are
325	middle	of	the	night	to
324	much	for	joining	us	this
322	made	a	name	for	himself
320	many	of	them	can	be
320	material	may	not	be	published
319	makes	you	feel	any	better
319	medical	xpress	in	any	form
314	more	than	a	century	ago
312	making	a	lot	of	money
312	more	likely	to	have	a
308	made	me	feel	like	i
308	making	it	one	of	the
307	men	and	women	in	uniform
306	more	needs	to	be	done
303	matter	of	time	before	the
302	makes	me	feel	like	i
302	must	be	some	kind	of
301	made	it	a	point	to
301	me	when	i	tell	you
301	men	and	women	who	have
299	many	parts	of	the	country
299	may	be	able	to	help
299	more	than	a	year	after
299	most	of	them	do	n't
298	more	than	anything	in	the
297	much	to	do	with	the
296	maintains	a	strict	policy	of
295	may	play	a	role	in
293	me	for	a	long	time
292	might	permanently	block	any	user
291	me	in	the	eye	and
291	members	of	the	security	council
289	may	have	something	to	do
288	me	if	i	wanted	to
288	might	be	one	of	the
288	much	more	likely	to	be
287	might	have	something	to	do
286	make	sure	he	does	n't
286	me	give	you	an	example
285	my	question	to	you	is
284	more	is	on	our	web
283	me	for	the	rest	of
281	make	sure	it	does	n't
279	middle	school	and	high	school
278	make	it	a	point	to
278	may	have	contributed	to	the
276	much	of	a	good	thing
275	matters	into	their	own	hands
274	might	be	able	to	do
273	meant	a	lot	to	me
272	major	developments	of	the	day
272	more	than	one	way	to
271	morning	to	both	of	you
270	more	and	more	and	more
267	make	it	all	the	way
267	me	to	be	able	to
267	my	guess	is	that	the
266	men	who	have	sex	with
265	make	it	look	like	a
264	make	a	long	story	short
264	make	the	most	of	your
264	more	likely	to	engage	in
264	more	than	i	can	say
264	most	of	the	people	i
262	make	a	run	for	it
261	minutes	on	each	side	or
261	murder	in	the	first	degree
260	make	sure	you	have	a
259	may	not	be	the	most
259	me	to	go	to	the
258	may	be	able	to	get
257	make	a	big	deal	out
257	mexico	and	the	united	states
256	me	know	what	you	think
255	make	sure	that	you	have
255	museum	of	natural	history	in
253	most	important	thing	is	that
251	more	research	is	needed	to
251	most	of	the	time	they
249	make	sure	that	you	are
248	me	know	if	you	need
247	may	not	have	been	the
246	made	it	all	the	way
246	made	their	way	to	the
246	me	tell	you	what	i
245	members	of	the	house	of
244	museum	of	the	american	indian
243	millions	and	millions	of	dollars
242	may	be	edited	for	length
240	makes	it	all	the	more
240	more	than	a	few	minutes
239	majority	of	the	american	people
239	make	a	big	difference	in
239	makes	no	sense	to	me
238	me	to	tell	you	that
238	might	as	well	be	a
238	more	likely	than	men	to
238	more	than	two	years	ago
238	more	where	that	came	from
236	many	times	in	the	past
236	me	in	the	middle	of
235	me	for	the	first	time
235	me	tell	you	something	about
234	me	and	i	do	n't
233	might	turn	out	to	be
232	made	a	mental	note	to
232	may	be	related	to	the
232	might	not	be	the	best
232	more	than	the	sum	of
230	millions	of	people	around	the
229	may	be	the	most	important
229	might	be	a	good	time
228	make	it	to	the	top
228	may	i	have	your	attention
226	more	than	twice	as	many
226	moving	on	to	the	next
225	may	not	be	enough	to
225	me	to	take	care	of
224	may	not	be	aware	of
223	me	as	if	i	were
223	more	than	a	handful	of
223	my	favorite	part	of	the
222	most	of	the	time	the
221	may	be	the	result	of
221	mind	if	i	take	a
221	more	than	a	hundred	years
220	more	i	think	about	it
220	moved	to	new	york	city
219	make	it	more	difficult	to
219	make	sure	that	we	do
218	make	sure	that	they	are
218	more	important	things	to	do
218	much	has	been	written	about
217	make	sure	we	do	n't
217	murder	in	the	second	degree
216	made	it	clear	that	they
216	more	than	one	or	two
215	make	it	easier	for	the
215	moved	to	the	united	states
214	make	up	for	lost	time
213	made	a	career	out	of
213	made	it	to	the	top
213	makes	no	sense	at	all
213	more	than	a	million	people
213	move	out	of	the	way
212	me	help	you	with	that
212	medium	speed	with	an	electric
212	much	has	been	made	of
211	make	you	feel	like	you
211	mayor	of	new	york	city
211	more	than	a	year	and
211	more	than	a	year	of
211	most	people	do	n't	realize
210	matter	how	hard	you	try
210	motion	picture	association	of	america
209	made	on	the	basis	of
209	make	sure	that	we	have
209	most	of	the	time	you
208	mean	a	lot	to	me
208	most	of	the	time	he
208	museum	of	modern	art	in
207	metropolitan	museum	of	art	in
207	most	important	part	of	the
206	me	ask	you	about	that
206	most	people	do	n't	have
205	man	by	the	name	of
205	matter	how	many	times	you
205	more	than	two	or	three
204	met	for	the	first	time
203	middle	and	high	school	students
203	most	important	thing	in	the
202	more	than	a	few	days
200	made	it	out	of	the
200	million	people	in	the	united
199	me	feel	like	i	was
198	might	be	able	to	find
198	more	than	twice	as	likely
198	more	than	two-thirds	of	the
197	museum	of	art	in	new
196	miles	off	the	coast	of
196	mind	if	i	ask	you
196	my	husband	and	i	had
195	made	her	way	to	the
195	maybe	you	can	help	me
195	must	be	one	of	the
194	make	their	way	to	the
194	me	out	of	the	house
194	months	leading	up	to	the
193	much	to	the	chagrin	of
192	mind	if	i	join	you
192	most	of	the	time	we
191	maybe	i	should	n't	have
191	most	if	not	all	of
190	matter	how	many	times	i
190	minutes	or	until	golden	brown
190	more	important	to	me	than
190	more	likely	you	are	to
189	make	me	feel	like	i
189	may	lose	their	posting	privilege
189	me	explain	something	to	you
189	most	powerful	man	in	the
188	made	a	lot	of	mistakes
188	make	sure	that	we	are
188	many	times	have	i	told
188	me	a	little	bit	of
188	more	than	a	million	dollars
187	might	or	might	not	be
187	much	for	your	time	today
187	must	be	taken	into	account
186	many	of	the	things	that
186	many	of	us	have	been
186	most	beautiful	woman	in	the
185	made	a	deal	with	the
185	made	in	the	united	states
185	make	sure	i	do	n't
185	mean	to	tell	me	that
185	more	than	a	few	of
185	motion	picture	arts	and	sciences
184	me	as	soon	as	you
184	me	take	a	look	at
184	might	be	able	to	make
184	more	in	line	with	the
184	more	likely	it	is	that
183	make	it	easier	for	you
183	many	times	over	the	years
183	means	and	standard	deviations	of
183	more	likely	they	are	to
183	more	than	anything	else	in
183	much	time	do	we	have
183	my	wife	and	i	had
182	me	if	i	did	n't
182	much	for	taking	the	time
181	might	be	a	little	bit
181	might	not	be	a	bad
181	moral	of	the	story	is
181	must	be	doing	something	right
180	me	in	front	of	my
180	me	tell	you	a	little
180	me	when	i	say	that
180	members	of	the	house	and
180	might	want	to	think	about
179	me	if	you	want	to
179	more	than	a	few	hours
178	me	that	i	do	n't
178	me	that	you	do	n't
178	medical	center	in	new	york
178	millions	of	dollars	a	year
177	more	than	three	times	the
176	member	of	the	house	of
175	make	it	back	to	the
175	make	it	clear	that	the
175	me	give	you	a	hand
175	me	in	the	first	place
175	more	than	half	of	them
175	more	than	its	share	of
175	moved	on	to	the	next
175	my	way	or	the	highway
174	make	it	out	of	the
174	may	come	as	a	surprise
174	money	in	the	long	run
174	more	than	twice	as	much
173	make	a	big	deal	about
173	make	up	their	own	minds
173	makes	you	feel	like	you
173	matter	of	time	before	they
173	may	not	be	the	same
173	mess	in	the	first	place
173	mitt	romney	and	paul	ryan
172	make	a	lot	of	noise
172	make	any	sense	to	me
172	make	sense	of	it	all
172	make	sure	that	you	do
172	makes	it	clear	that	the
172	may	not	have	been	a
172	me	that	i	did	n't
172	might	want	to	take	a
171	may	be	found	in	the
171	means	so	much	to	me
170	maybe	i	can	help	you
170	mean	you	do	n't	know
170	most	people	do	n't	even
170	my	brother	and	i	were
170	my	guess	is	that	it
169	makes	me	feel	like	a
169	much	do	you	know	about
167	may	i	ask	you	a
167	meeting	at	the	white	house
167	more	than	a	billion	dollars
167	most	of	the	time	when
167	much	for	joining	us	today
167	much	in	the	same	way
166	make	a	go	of	it
166	me	ask	you	about	this
166	me	to	give	you	a
166	members	of	the	royal	family
166	months	out	of	the	year
166	more	than	a	year	later
165	make	it	worth	your	while
165	may	be	part	of	the
165	may	have	been	the	first
165	may	not	be	the	case
165	me	ask	you	this	question
165	me	in	front	of	the
165	me	in	the	right	direction
165	more	than	one-third	of	the
165	most	of	his	time	in
164	me	in	a	way	that
164	me	to	get	out	of
164	members	of	his	own	party
164	might	even	be	able	to
164	might	have	been	a	little
164	most	of	the	people	that
164	movement	in	the	united	states
164	my	mother	used	to	say
163	make	the	best	use	of
163	members	of	the	united	nations
163	more	than	half	of	those
162	men	are	more	likely	to
161	made	a	lot	of	progress
161	making	it	more	difficult	for
161	making	the	world	a	better
161	marked	the	beginning	of	the
161	may	god	have	mercy	on
161	million	of	his	own	money
161	money	to	be	made	in
161	more	likely	to	be	a
161	much	as	i	hate	to
160	make	no	law	respecting	an
160	millions	and	millions	of	people
160	much	as	i	would	like
159	may	be	the	only	way
159	me	because	i	do	n't
159	me	he	was	going	to
159	member	of	the	communist	party
159	moment	in	the	history	of
159	more	and	more	of	them
159	must	be	careful	not	to
158	made	in	the	image	of
158	make	any	sense	at	all
158	make	much	of	a	difference
158	make	sure	you	get	the
158	map	of	the	united	states
158	maybe	i	do	n't	want
158	minutes	or	until	lightly	browned
158	much	more	than	just	a
157	make	a	transparent	background/selection	on
157	makes	it	more	difficult	for
157	may	i	have	a	word
157	may	not	be	in	the
157	me	sick	to	my	stomach
157	money	to	pay	for	the
157	more	than	a	year	before
156	many	people	in	this	country
156	millions	of	dollars	worth	of
156	more	and	more	difficult	to
156	more	i	thought	about	it
156	more	work	to	be	done
154	make	sure	that	there	is
154	may	be	edited	for	clarity
154	might	be	able	to	use
154	more	than	a	year	to
154	more	than	made	up	for
154	must	not	be	allowed	to
153	made	my	way	to	the
153	make	sure	you	have	the
153	modern	art	in	new	york
152	makes	you	think	you	can
152	matter	of	time	before	he
152	me	what	i	need	to
152	most	of	the	time	and
152	move	on	to	something	else
151	made	me	feel	like	a
151	make	it	out	to	be
151	may	never	be	able	to
151	maybe	you	do	n't	know
150	made	him	one	of	the
150	make	the	most	of	their
150	me	see	what	i	can
150	me	to	go	back	to
150	middle	of	the	night	with
149	make	it	through	the	night
149	may	he	rest	in	peace
149	may	not	be	the	only
149	more	on	that	in	a
148	may	have	been	involved	in
148	me	give	you	a	little
148	most	important	thing	you	can
148	most	recent	year	for	which
148	museum	of	african	american	history
147	making	up	for	lost	time
147	more	than	a	few	times
147	more	than	two	decades	ago
146	made	available	to	the	public
146	me	to	go	with	you
146	members	of	the	board	of
146	money	where	your	mouth	is
146	more	likely	to	have	been
146	more	than	a	few	seconds
146	murder	in	the	death	of
145	make	your	way	to	the
145	many	times	have	you	been
145	matters	into	his	own	hands
145	member	of	the	united	states
145	members	of	the	united	states
144	may	have	to	do	with
144	my	way	back	to	the
143	made	a	lot	of	sense
143	make	all	the	difference	in
143	make	sure	there	are	no
143	me	a	lot	of	money
143	me	if	you	need	anything
143	more	in	the	way	of
143	more	than	a	dozen	years
143	most	natural	thing	in	the
143	most	or	all	of	the
143	much	do	i	owe	you
143	much	work	to	be	done
143	must	come	to	an	end
142	made	it	back	to	the
142	may	not	be	a	good
142	morning	to	all	of	you
141	made	possible	by	warner	bros
141	make	up	the	majority	of
141	map	to	the	stars	eddie
141	maybe	you	should	talk	to
141	me	out	to	the	ball
141	me	tell	you	a	story
141	members	of	the	armed	forces
141	more	and	more	like	a
141	more	likely	to	be	in
140	made	a	conscious	decision	to
140	made	the	sign	of	the
140	man	in	charge	of	the
140	many	people	around	the	world
140	matter	how	you	look	at
140	may	have	played	a	role
140	may	or	may	not	know
140	me	for	who	i	am
140	more	times	than	i	can
