BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Rubiano Vargas, Roberto: El anarquista jubilado. Bogotá: Planeta Colombiana, 2001.	Rubiano Vargas, Roberto	El anarquista jubilado	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Cannabis sativa, observan las luces de parada del carrotanque que va adelante. Están rojas como sus globos oculares. Inflamable, mantenga su distancia, Inca Fruhauf. «A mi Dios todo le debo», lee Poncho fascinado. Lleva diez minutos leyendo lo mismo una y otra vez. Pite y pase. Un anuncio críptico que no termina de interpretar.
Serna, Enrique: «La fuga de Tadeo». El orgasmógrafo. Buenos Aires: Editorial Sudamericana, 2001.	Serna, Enrique	El orgasmógrafo	2001	Primera edición	Ficción	Escrito	Libro	Relato	México	México y Centroamérica	Ficción		Comenzó entonces a escribir su fulgurante y aciaga secuela de "Fugas", textos crípticos y sin embargo diáfanos, irreductibles a cualquier clasificación genérica, donde parece describir la errancia de un alma en busca de la plenitud, o quizá un descenso al infierno, pues la extraña conjugación de ruido y armonía lograda por el maestro admite una infinita variedad de lecturas. Como amigo de Tadeo deploro su derrumbe psicológico,
Lizardo, Gonzalo: «Brian Eno: la metáfora fractal de la música». Espinosa Proa, Sergio [coord.]: Consonancias y disonancias. Filosofía y música en el fin de milenio. Zacatecas: Unidad Academica de Docencia Superior, Universidad Autónoma de Zacatecas, 2001.	Espinosa Proa, Sergio [coord.]	Consonancias y disonancias. Filosofía y música en el fin de milenio	2001	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	México	México y Centroamérica	Académico		Tal vez por el críptico humor que encierran sus estrategias generadoras, las mejores piezas de Brian Eno nos suenan tan vitales, tan hedonistas, tan maliciosas y risueñas. No todas, aclaro. Tanto proyecto, teorema, sofisma, juego y azar, podría desilusionarnos si escucháramos algunos de sus discos. Ni modo. El exceso, el error deliberado
Henríquez Gratereaux, Federico: Empollar huevos históricos. Santo Domingo: Alfa y Omega, 2001.	Henríquez Gratereaux, Federico	Empollar huevos históricos	2001	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	República Dominicana	Antillas			Sin embargo, el triste y amargado Vallejo escribió también aquello de que "la cólera del pobre tiene un aceite contra dos vinagres". Su poesía, a veces críptica, en ocasiones muy poco traducible, está atravesada por una fúnebre tristeza ante la condición humana y frente al ordenamiento social. El es un antecedente laico de la reciente posición de Ernesto Cardenal: un marxista místico que une en un sólo grito religión y revolución.
Naveros, Miguel: Al calor del día. Madrid: Alfaguara, 2001.	Naveros, Miguel	Al calor del día	2001	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción	No siempre hay coincidencia entre párrafo y salto de línea	Christian Slater parecía completamente feliz y se le desbordaban soñadoras sonrisa y mirada cuando señaló en dirección al viejo embarcadero al otro lado de la enorme explanada en obras en la que acababa la Rambla: "¿Te imaginas, Teresa?", preguntó críptico perimetrando con el dedo estirado la colosal estructura metálica, y continuó edificios modernos adelante hasta el esquinazo de la bella casa modernista de cuatro plantas y cúpulas en rojo y azul, perfectamente divisable desde la mesa en la que se encontraban: "De punta a punta... el más grande de los siglos y de punta a
Naveros, Miguel: Al calor del día. Madrid: Alfaguara, 2001.	Naveros, Miguel	Al calor del día	2001	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción	No siempre hay coincidencia entre párrafo y salto de línea	porque Angui respondió inmediatamente que sí, para desgracia del pobre Rafael Peral que, puesto ya a seguir esperando con el periódico, había vuelto, contra su costumbre, a la portada, de la que empezó a leer en voz alta como en un ejercicio su píldora del día, una de las más cortas, crípticas y apesadumbradas que había escrito jamás:
Cerezales, Agustín: Mi viajera. Ciervos errantes y tigres invisibles. Madrid: Alfaguara, 2001.	Cerezales, Agustín	Mi viajera. Ciervos errantes y tigres invisibles	2001	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		Al despertar, el cisne sigue ahí. ¿Qué esperabas, que hubiera echado a volar? Pues no, no vuela, y su mirada irónica te atraviesa con un escalofrío, críptica reminiscencia de algo que no sabes si ha ocurrido, que no sabes si ha ocurrido pero que flota aún, enredado en esa música suave que se te ha metido dentro, una música suave, lenta, sacra, un reggae pianísimo, como si te estuvieras besando, muy despacito, con un desconocido, o como
Nieva, Francisco: «David Roque y la momia de York». Argumentario clásico. Toledo: Lengua de Trapo, 2001.	Nieva, Francisco	Argumentario clásico	2001	Primera edición	Ficción	Escrito	Libro	Relato	España		Ficción		de sus dudas, David Roque sacó la conclusión de que la estética juvenil del último tercio del siglo XX estaba compuesta por disonancias, quiebros y rupturas de la belleza humana idealizada por los griegos y los renacentistas. Era lo contrario. Ahora se sentía cierto fervor por lo monstruoso, lo exótico, lo indescifrable y críptico. Flypper era una suerte de enigma, un jeroglífico humano que daba brincos. Pero David Roque se obsesionó con todo ello. ¿De dónde había salido, quiénes eran sus padres, de qué estrato social procedía? Misterio, nadie sabía nada. Su modo de hablar era el de todos los jóvenes, con contracciones bárbaras
Ameztoy, Begoña: Escuela de mujeres. Madrid: Oberon, Grupo Anaya, 2001.	Ameztoy, Begoña	Escuela de mujeres	2001	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	España				El Arca de la Alianza es una metáfora, una alegoría simbólica, una clave críptica más. Sin embargo merecería haber existido realmente.
