BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		percepción de los muertos estuviera más cerca de la frialdad, que de la ardentía cotidiana. Siempre he sentido una fascinación irresistible por esos momentos culminantes de la naturaleza; ese tránsito abrupto de sol bravio a la niebla repentina que todo lo enfría y nos sume en esa placidez envidiable de poseer un rigor climático, tachonado de esquirlas frías y tolerables.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Llevas siete días de recapitulación y de ahora en adelante tienes que entrar de lleno en el terreno difícil de nuestro proyecto y la presencia de Sonia podría traer los pormenores de una distracción que no te conviene; yo creo que ya recogiste con lujo de detalles hasta las esquirlas más pequeñas de la memoria perdida por tiempos no recordados por nadie y sepultados para siempre bajo el inmenso peso del olvido.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		He llegado hace diez días y he tratado de recomponer las mil y tantas esquirlas de la memoria averiada por el tiempo y los deseos de olvido, que ya me queda muy poco que olvidar. No he podido ver a Adalgisa como quería verla; sus imágenes han sido borrosas y fugaces; además creo que ya no se acuerda de mí como yo me he acordado toda la vida de ella
Herrera, Marcos: Ropa de fuego. Madrid: Lengua de trapo, 2001.	Herrera, Marcos	Ropa de fuego	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		: un payaso. Viven juntos. Él es genial, dice Thapsia. Y es verdad. El tipo tiene talento. Ponen un pequeño espectáculo juntos. Les va bien. Público y dinero. Verano en la costa atlántica. Les va bien. Cuando vuelven, Thapsia deja su trabajo de empleada. 20 años. Esquirlas luminosas viajando hacia ningún lugar, monedas en la vía del tren.
Herrera, Marcos: Ropa de fuego. Madrid: Lengua de trapo, 2001.	Herrera, Marcos	Ropa de fuego	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Esquirlas aplastadas en la vía del tren, monedas que viajan hacia ningún lugar.
Ehrenhaus, Andrés: La seriedad. Barcelona: Mondadori, 2001.	Ehrenhaus, Andrés	La seriedad	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Déibit roncaba, acurrucado, y el aire de sus ronquidos mecía su densa pelambre corporal. Greiz se sentó a su lado. Estaba cansada. Entonces vio la pantalla. El impacto la había perforado por el cuadrante superior izquierdo, reduciéndola a esquirlas del tamaño de dientes de leche. El bastidor, que era levísimo, había aguantado en pie, pero el cablerío estaba chamuscado, y las chispas habían dejado manchas por todo arreo. Al menos dos microfogatas se habían iniciado y consumido, probablemente, en pocos segundos, comiéndose parte de la película ignífuga
Ehrenhaus, Andrés: La seriedad. Barcelona: Mondadori, 2001.	Ehrenhaus, Andrés	La seriedad	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		bastidor, que era levísimo, había aguantado en pie, pero el cablerío estaba chamuscado, y las chispas habían dejado manchas por todo arreo. Al menos dos microfogatas se habían iniciado y consumido, probablemente, en pocos segundos, comiéndose parte de la película ignífuga de la mesa y el diván cama. Alguna esquirla blanca se había incrustado en los paneles de pared, junto a marcas anteriores. No era la primera pantalla que reventaba Déibit. Ni la última. Buscó con la mirada el pepino y lo encontró más allá, despanzurrado como un perico alcanzado por un rayo. Greiz suspiró. Se preguntó, como siempre, para qué necesitaría
Dualte, Javier; Spregelburd, Rafael; Tantanian, Alejandro: La escala humana. Buenos Aires: Ediciones Teatro Vivo, 2001.	Dualte, Javier; Spregelburd, Rafael; Tantanian, Alejandro	La escala humana	2001	Fecha de estreno	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata	Ficción		Leandro: Bueno, no lo hace a propósito. Tiene una esquirla en la base del occipital.
Acevedo, Rafael: Exquisito cadáver. San Juan: Ediciones Callejón, 2001.	Acevedo, Rafael	Exquisito cadáver	2001	Primera edición	Ficción	Escrito	Libro	Novela	Puerto Rico	Antillas	Ficción		blanca. A su lado un desvencijado paraguas negro. Era mi camisa. Era mi paraguas. No te preocupes, me dijo Claris, tú vas a investigar el caso. Demasiados, dije yo, demasiados. Tuve la sensación de que ese cuerpo encontrado era un miembro extirpado del mío. Era percibir todavía la esquirla del obús alojada en la mano amputada. Era la presión del reloj y la sortija en un miembro inexistente. ¿Será esto el reverso de la muerte? No te preocupes, habría dicho Claris. ¿Voy a investigarme? No sabría qué buscar. No sabría qué encontrar. Sentí como si mi
