BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Serna, Enrique: «La Palma de Oro». El orgasmógrafo. Buenos Aires: Editorial Sudamericana, 2001.	Serna, Enrique	El orgasmógrafo	2001	Primera edición	Ficción	Escrito	Libro	Relato	México	México y Centroamérica	Ficción		Dicen con razón que un marido no debe confesar una infidelidad ni con la cabeza puesta en la guillotina. Nada me hubiera costado salir del aprieto con una mentira, decirle que habíamos usado el motel como locación, o que un camarógrafo me había regalado esos cerillos, pero estaba culpabilizado por sus atenciones del día anterior y cedí a un impulso confesional:
Ferrer Agüero, Luis María: El emperador chino de occidente (El Dr. F.): guión cinematográfico. Buenos Aires: Dunken, 2001.	Ferrer Agüero, Luis María	El emperador chino de occidente (El Dr. F.): guión cinematográfico	2001	Primera edición	Ficción	Escrito	Libro	Guion	Paraguay	Río de la Plata	Ficción		Se ven planos del Congreso de Filadelfia, la gesta de Washington, a Lafayette en acción y con la divisa tricolor, a Franklin exponiendo la idea de la Confederación, la Toma de la Bastilla y con La Marsellesa como breve telón de fondo musical, la guillotina, la ejecución de los Reyes, a Danton, Marat y Robespierre en acción (secuencias de films de ficción). Empiezan a desfilar por la pantalla asimismo algunos libros fundamentales que se publican en esos años. El Espíritu de las Leyes (1748) de Montesquieu, El Contrato Social (1762) de Rousseau,
Mansur, Nara: Ignacio & María . Buenos Aires: celcit.org.ar, 2013-02-27.	Mansur, Nara	Ignacio & María 	2001	Fecha de escritura	Ficción	Escrito	Libro	Teatro	Cuba	Antillas	Ficción	Fecha de publicación: fecha de descarga del texto fuente	Te di todas las indicaciones para el futuro. Acuérdate María: si alguien pregunta por mí, le hablas de la guillotina con la que asesinaron a María Antonieta; si estás sola piensa en Virgilio Piñera, en la insularidad. María, no te dejes provocar, no digas lo que sientes, por favor, no te dejes caer, "busca el fondo y la razón: recuerda se ven las caras pero nunca el corazón".
Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001.	Benítez Rojo, Antonio	Mujer en traje de batalla	2001	Primera edición	Ficción	Escrito	Libro	Novela	Cuba	Antillas	Ficción		l desembarco -tus primeros pasos por el muelle, asomarte a esas miradas que buscan desnudarte-. Hoy, más que otras veces, comprendes la despiadada vergüenza que hubo de padecer tanta mujer que, forzada a desfilar frente a una turba excitada por el prometido espectáculo, fue al encuentro de la hoguera o la guillotina o la horca o el hacha del verdugo. Es verdad que en tus circunstancias nunca se ha hablado de darte muerte, pero te han ofendido tantas veces que la perspectiva de caminar nuevamente a través del escarnio público se te hace intolerable. A pesar de que has visto lo que has visto en la guerra -los campos
Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001.	Benítez Rojo, Antonio	Mujer en traje de batalla	2001	Primera edición	Ficción	Escrito	Libro	Novela	Cuba	Antillas	Ficción		llamada Madame Montiel; lecciones de gramática, latín, griego, matemáticas, lógica, geografía y lecturas didácticas impartidas rectamente por el abate Lachouque; equitación y esgrima con el buen capitán Laguerre-, el contacto con las ingeniosas hijas del jardinero, con quienes jugaba a las decapitaciones junto a un árbol muerto que llamábamos La Guillotina; los discursos jacobinos que Pierre, sin importarle mucho mi curiosidad, dirigía en la cocina al resto de los criados mientras mi tía dormía la siesta, y mis intensas conversaciones con Françoise, secreta admiradora de Rousseau y los Philosophes, me habían marcado con un vago patriotismo antimonárquico que, sin atreverme a
Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001.	Benítez Rojo, Antonio	Mujer en traje de batalla	2001	Primera edición	Ficción	Escrito	Libro	Novela	Cuba	Antillas	Ficción		los. A Maryse le pareció un acto de barbarie que la catedral de Nuestra Señora fuera consagrada a La Razón: «¡Por Dios, Portelance! ¿Adónde vamos a parar? Así que ahora debemos adorar a la Diosa Razón. ¡Vaya desparpajo!», se quejaba. Pero sobre todo odiaba cada vez más la guillotina, y esto no sólo porque el número de sus víctimas crecía incesantemente, sino además porque estaba convencida de que el espectáculo de las ejecuciones corrompía de manera irreparable los sentimientos del pueblo. «Ya estamos a punto de volvernos animales. ¿Cómo puedes estar de acuerdo con este baño de sangre?» A lo que
Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001.	Benítez Rojo, Antonio	Mujer en traje de batalla	2001	Primera edición	Ficción	Escrito	Libro	Novela	Cuba	Antillas	Ficción		corrompía de manera irreparable los sentimientos del pueblo. «Ya estamos a punto de volvernos animales. ¿Cómo puedes estar de acuerdo con este baño de sangre?» A lo que Portelance respondía: «El camino del infierno está empedrado de buenas intenciones. Estamos en guerra y en revolución, querida; mira la guillotina como un mal necesario. Es cierto que se toman medidas extremas, pero también se hace justicia. Hace apenas dos años, a pesar de mi dinero y mi educación, carecía de derechos. Y bien, hoy los tengo». Y al continuar la discusión sin que ninguno abandonara sus argumentos, Maryse pretextaba un dolor
Courtoisie, Rafael: Caras Extrañas. Toledo: Ediciones Lengua de Trapo, 2001.	Courtoisie, Rafael	Caras Extrañas	2001	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata	Ficción		La Revolución francesa necesitó la guillotina. Ahí, además de María Antonieta, perdieron la cabeza los ideólogos del movimiento.
Courtoisie, Rafael: Caras Extrañas. Toledo: Ediciones Lengua de Trapo, 2001.	Courtoisie, Rafael	Caras Extrañas	2001	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata	Ficción		La guillotina cortó cabezas.
Eramo Bustillo, Jorge: La violencia en la vida de la mujer. Tegucigalpa: Graficentro editores, 2001.	Eramo Bustillo, Jorge	La violencia en la vida de la mujer	2001	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Honduras	México y Centroamérica	Académico	El texto origen contiene muchos errores de acentuación	recelosa de Olympe de Gauges en 1791 en Francia, cuando contrapuso su propio manifiesto a esa Declaración, como PROCLAMACIÓN DE LOS DERECHOS DE LAS MUJERES Y CIUDADANAS. Ella y sus compañeras de lucha por los derechos de las mujeres y de las ciudadanas tuvieron que pagar con la propia vida sus preguntas críticas, pues terminaron bajo la guillotina.
