BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Amparo estaba deslumbrada. Nunca había subido a una limusina. El interior estaba decorado estilo rococó, con mucho dorado y espejos que reflejaban las luces de las velas de los candelabros. En el centro había una mesa de comedor para unas veinte personas, rodeada por lacayos de librea y peluca empolvada. Michelle invitó a Amparo a ubicarse a un extremo de la mesa,
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Cuando la limusina frenó en una esquina, Michelle dijo:
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		, le hizo levantar la cabeza: por la ventana que daba a la calle se veía el mismo coche que los había atacado en el bar, cargado de esbirros. Uno de ellos, sin disimulo, estaba apuntando con una cámara fotográfica hacia su ventana. En el preciso momento en que tomó la foto, la limusina se interpuso entre la cámara y el edificio. La parte delantera de la limusina hizo una breve inclinación, como si agachara su testuz. Habían llegado, las ruedas delanteras se detuvieron; unos instantes después las traseras también lo hicieron.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		se veía el mismo coche que los había atacado en el bar, cargado de esbirros. Uno de ellos, sin disimulo, estaba apuntando con una cámara fotográfica hacia su ventana. En el preciso momento en que tomó la foto, la limusina se interpuso entre la cámara y el edificio. La parte delantera de la limusina hizo una breve inclinación, como si agachara su testuz. Habían llegado, las ruedas delanteras se detuvieron; unos instantes después las traseras también lo hicieron.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		. No debían dejar rastros, y unas cuadras más lejos se deshicieron de la cámara arrojándola a un baldío, donde la encontró un pordiosero que, más tarde, la vendería en una casa de fotos cuyo dueño, al ver que traía un rollo, decidió revelarlo y, como la foto de la limusina le pareció espléndida, la amplió y colocó en exhibición en el escaparate de su tienda, a pocas cuadras del Grand Hotel and Towers, sin más consecuencias.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Amparo, inquieta y temerosa por la visita de Michelle, pero fatigada por tantas emociones, pidió que la llevaran a su casa. Así lo hicieron, y entonces quedaron solos Michelle y Lucas en el apartamento de éste. Ella observaba con curiosidad, piadosamente; toda la vivienda era más pequeña que el baño de la limusina.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Ella conocía muy bien ese tono de Günther y sabía que no era momento para contradecirlo. Además estaba aburrida, pasada ya media hora desde que Lucas había partido en busca de su manuscrito. Se levantó de la cama y, semidesnuda, bajó refunfuñando hasta la limusina, donde terminó de vestirse con pereza felina. Cuando llegó al Grand Hotel and Towers encontró a Günther con mala cara.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Llegaron por la mañana. Una limusina los condujo directamente al museo donde se exhibiría la muestra que debían inaugurar. Allí se encontraban importantes personalidades de la cultura, la política, la industria y el clero. Günther pronunció un discurso en un perfecto italiano de diccionario, señalando los importantes vínculos entre las artes, los mecenas y la prosperidad de las naciones
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Porque el día anterior, al regresar a su dormitorio con el manuscrito, había descubierto que Michelle ya no estaba allí. Luego de buscarla infructuosamente por todo el apartamento, se vistió deprisa y bajó las escaleras corriendo. Llegó a la calle: ni rastros de la limusina. Subió cabizbajo las escaleras. En su apartamento, después de espantar a los insectos, testimonios vivientes de la embriagadora presencia de Michelle en su hogar, desconsolado, Lucas repasó el artículo «¿Es su novia una seductora histérica?". Una de las preguntas del test era: «¿Tiene conductas esquivas
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Cuando su limusina se puso en marcha, Günther sonreía. La reacción del Pontífice era previsible. Un giro así no sería fácil para el Vaticano: ellos tenían muchos siglos de tradición y mucho público al que satisfacer. Se podrían meter en negocios turbios, por supuesto, pero siempre lo harían con discreción. Sería necesario pasar a
