BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Bolaño, Roberto: «Carnet de baile». Putas asesinas. Barcelona: Anagrama, 2001.	Bolaño, Roberto	Putas asesinas	2001	Primera edición	Ficción	Escrito	Libro	Relato	Chile	Chilena	Ficción		en el vacío, sin la menor duda. 23. Pero hay que matar a los padres, el poeta es un huérfano nato. 24. En 1973 volví a Chile en un largo viaje por tierra y por mar que se dilató al arbitrio de la hospitalidad. Conocí a revolucionarios de distinto pelaje. El torbellino de fuego en el que Centroamérica no tardaría en verse envuelta ya se avizoraba en los ojos de mis amigos, que hablaban de la muerte como quien cuenta una película. 25. Llegué a Chile en agosto de 1973. Quería participar en la construcción del socialismo. El primer libro de poemas que compré fue
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Al día siguiente amanecí con los ojos cansados, pero en el resto del cuerpo tenía la sensación de una levitación permanente. Durante varios días, abría y cerraba los ojos y los volvía a ver en un torbellino vertiginoso que descendía a velocidades fantásticas y que volvía a subir con los mismos ímpetus.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Bajaba por la calle que daba al oleoducto cuando el estrépito ensordecedor de unos balazos la hicieron tambalear por una vez en la vida. Se detuvo por un instante, en medio del torbellino enredado que el ruido de guerra le dejó en los oídos.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		-Salí corriendo, desesperado. Mi corazón estaba a punto de reventar de dolor, mi cabeza era un torbellino, las lágrimas brotaban de mis ojos. Y en ese momento juré venganza.
Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001.	Maronna, Jorge; Pescetti, Luis María	Copyright: plagios literarios y poder político al desnudo	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		posible que estuviera en un ambiente que poco recordaba a una reunión de Estado, y sí a una película de romanos? ¿Por qué con una robe de chambre rosada? En su interior se desmoronaban las ilusiones democráticas, como cartas de un castillo precario. Miles de momentos se agolpaban en su cabeza. Giraban en torbellino las veces en que había cantado el himno. Saludar a la bandera. Las estampas e imágenes que había pegado en sus cuadernos escolares. Todo se derrumbaba. ¿Nada es cierto, entonces?, se decía, mientras se recordaba acudiendo entusiasmada a sus actos proselitistas, cuando este espantajo moral que se ofrecía a su
Biggs, Jorge: En torno a la casa de Madame Lorraine. Santiago de Chile: Editorial Cuarto Propio, 2001.	Biggs, Jorge	En torno a la casa de Madame Lorraine	2001	Primera edición	Ficción	Escrito	Libro	Novela	Chile	Chilena	Ficción		Michelle comenzó a mover su torso, inclinándose y volviéndose a enderezar, por toda respuesta e ignorando totalmente el ofrecimiento del portero. Atrás, se podía ver un torbellino de agua, producido por el rotar de la hélice del "Tan-Kei" y más allá, una enorme estela que marcaba el camino recorrido. El portero se levantó para sentarse junto a Michelle, tan juntos, que sus cuerpos se rozaban. Miró en derredor y pudo comprobar que no había otros enfermos en la
Bondy Reyes, Ernesto: «OCASO DEL IMPERIO EMPLUMADO». Viaje de retorno, hasta Sabina y otros relatos. Tegucigalpa: Iberoamericana, 2001.	Bondy Reyes, Ernesto	Viaje de retorno, hasta Sabina y otros relatos	2001	Primera edición	Ficción	Escrito	Libro	Relato	Honduras	México y Centroamérica	Ficción		unísono mientras agitaban sus alas vigorosamente. El frenético aleteo de la multitud de aves se convirtió en una vorágine que aceleró la caída del soberano, quien al precipitarse hacia el fondo arrastraba tras de sí las piedras de la ciudadela y las sombras de su pueblo, mientras todo lo conocido se movía en un torbellino tras él, hasta caer bajo el escalón inferior de la escalinata donde el suelo se licuaba y todos se hundían en el reino del inframundo.
Perales Lavin, Coro: Bigote prieto. Una historia de mujeres en la Revolución mexicana. Barcelona: Nihil obstat, 2001.	Perales Lavin, Coro	Bigote prieto. Una historia de mujeres en la Revolución mexicana	2001	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		Abriste los ojos y solamente encontraste oscuridad y bienestar. Y paz. Ah, ya habías regresado a casa. A tu país. Había cesado el movimiento, el vaivén a veces tranquilo y otras veces agitado del barco en el que viajaste de regreso de París. Los últimos meses aparecieron de pronto como un torbellino en tu recuerdo: exámenes finales, tesis, conferencias, operaciones. La graduación, el premio a tu labor. Tu pecado secreto. Las despedidas de los amigos. De él..., de ese hombre del que no querías ni recordar su nombre. No te volverías a enamorar nunca.
Rubio Rosell, Carlos: Los Ángeles-Sur. México D. F.: Galaxia Gutenberg, 2001.	Rubio Rosell, Carlos	Los Ángeles-Sur	2001	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		Fue hasta el Mustang y advirtió que una fina capa de polvo cubría por completo el parabrisas; caminó un poco más tratando de encontrar alguna señal del viejo. Era inútil, sólo podía ver pequeños torbellinos enroscándose por todas partes. Al poco rato la tolvanera creció, y cientos de miles de granos de arena chocaban contra su rostro, se le metían en la ropa, lo envolvían como una manta y lo cegaban por completo. Pensó que aquella polvareda podría sepultarlo ahí mismo, en el desierto mexicano,
Monteforte Toledo, Mario: Los adoradores de la muerte. México D. F.: Alfaguara, 2001.	Monteforte Toledo, Mario	Los adoradores de la muerte	2001	Fecha de escritura	Ficción	Escrito	Libro	Novela	Guatemala	México y Centroamérica	Ficción		hizo más fuerte, más fuerte, hasta que divisaron el avión, amenazador como un dedo negro colosal que escribiera en el cielo la más amarga y siniestra profecía. De repente, como siguiendo el horizonte más expresivo de una brújula, viró dirigiéndose francamente al poblado, tan poco elevado que se le distinguían los torbellinos de sus dos hélices y unas grandes letras rojinegras en los costados. Describió tres círculos como si dibujase el contorno del poblado, tomó altura y se alejó rumbo al Norte.
